FIPStxt,State,Area_Name,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2014,CI90LBAll_2014,CI90UBALL_2014,PCTPOVALL_2014,CI90LBALLP_2014,CI90UBALLP_2014,POV017_2014,CI90LB017_2014,CI90UB017_2014,PCTPOV017_2014,CI90LB017P_2014,CI90UB017P_2014,POV517_2014,CI90LB517_2014,CI90UB517_2014,PCTPOV517_2014,CI90LB517P_2014,CI90UB517P_2014,MEDHHINC_2014,CI90LBINC_2014,CI90UBINC_2014,POV05_2014,CI90LB05_2014,CI90UB05_2014,PCTPOV05_2014,CI90LB05P_2014,CI90UB05P_2014
00000,US,United States,,,,,"48,208,387","47,966,830","48,449,944",15.5,15.4,15.6,"15,686,012","15,564,145","15,807,879",21.7,21.5,21.9,"10,714,518","10,632,252","10,796,784",20.4,20.2,20.6,"53,657","53,564","53,750","4,658,187","4,609,104","4,707,270",23.9,23.7,24.1
01000,AL,Alabama,,,,,"905,682","888,317","923,047",19.2,18.8,19.6,"298,682","290,188","307,176",27.4,26.6,28.2,"207,154","199,920","214,388",25.9,25.0,26.8,"42,917","42,335","43,499","88,203","83,938","92,468",30.6,29.1,32.1
01001,AL,Autauga County,2,2,2,2,"7,204","5,845","8,563",13.1,10.6,15.6,"2,505","1,928","3,082",18.1,13.9,22.3,"1,832","1,417","2,247",17.4,13.5,21.3,"54,366","50,916","57,816",,,,,,
01003,AL,Baldwin County,4,5,3,2,"25,696","21,539","29,853",13.0,10.9,15.1,"8,637","6,788","10,486",19.8,15.6,24.0,"6,118","4,773","7,463",18.7,14.6,22.8,"49,626","46,516","52,736",,,,,,
01005,AL,Barbour County,6,6,6,6,"5,943","4,539","7,347",25.4,19.4,31.4,"2,137","1,666","2,608",38.1,29.7,46.5,"1,521","1,180","1,862",37.0,28.7,45.3,"34,971","32,475","37,467",,,,,,
01007,AL,Bibb County,1,1,1,1,"3,666","2,752","4,580",18.1,13.6,22.6,"1,237",933,"1,541",26.8,20.2,33.4,866,651,"1,081",25.2,18.9,31.5,"39,546","36,344","42,748",,,,,,
01009,AL,Blount County,1,1,1,1,"10,000","8,513","11,487",17.5,14.9,20.1,"3,241","2,649","3,833",24.1,19.7,28.5,"2,248","1,812","2,684",22.5,18.1,26.9,"45,567","41,885","49,249",,,,,,
01011,AL,Bullock County,6,6,6,6,"3,179","2,474","3,884",35.1,27.3,42.9,980,762,"1,198",43.1,33.5,52.7,649,492,806,40.4,30.6,50.2,"26,580","23,720","29,440",,,,,,
01013,AL,Butler County,6,6,6,6,"4,988","4,098","5,878",25.0,20.5,29.5,"1,735","1,418","2,052",36.7,30.0,43.4,"1,235","1,004","1,466",35.3,28.7,41.9,"32,512","29,470","35,554",,,,,,
01015,AL,Calhoun County,3,2,3,2,"23,114","20,246","25,982",20.5,18.0,23.0,"7,080","5,824","8,336",28.1,23.1,33.1,"4,738","3,784","5,692",25.4,20.3,30.5,"41,123","39,130","43,116",,,,,,
01017,AL,Chambers County,6,5,6,5,"7,170","5,900","8,440",21.3,17.5,25.1,"2,255","1,776","2,734",31.6,24.9,38.3,"1,562","1,202","1,922",30.2,23.3,37.1,"34,116","31,147","37,085",,,,,,
01019,AL,Cherokee County,8,6,6,6,"4,768","3,840","5,696",18.6,15.0,22.2,"1,462","1,129","1,795",27.9,21.5,34.3,"1,019",776,"1,262",25.4,19.3,31.5,"38,013","34,618","41,408",,,,,,
